Organization Name	Organization Name URL	Full Description	Industries	Website	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	Headquarters Regions	Operating Status	Founded Date	Founded Date Precision	Number of Founders	Number of Employees	Founders	Apptopia - Number of Apps	Apptopia - Downloads Last 30 Days	Aberdeen - IT Spend	Aberdeen - IT Spend Currency	Aberdeen - IT Spend Currency (in USD)	PP URL
Coservit	https://www.crunchbase.com/organization/coservit	Coservit is an innovative software vendor for the IT sector whose solutions enhance their customers’ competitiveness by optimising the use of IT in order to drive business forward.	Cloud Infrastructure, Consulting, Enterprise Software, Software	http://coservit.com/	New York, New York, United States	Coservit is an innovative software vendor for the IT sector whose solutions enhance our customers’ competitiveness.	544,262	4,425	4,167.5	29.46%	-95.1%	0	1.0	-11.1%	100%	14.29%	3,591,650	-251,475	-6.54%	Greater New York Area, East Coast, Northeastern US	Active	2006-01-01	year	1.0	11-50	Francois Mateo	1.0					https://coservit.com/en/terms-conditions/
iTech Solutions	https://www.crunchbase.com/organization/itech-solutions	iTech Solutions manufactures computer hardware. Their services include administrative support services, high availability and disaster recovery, managed services, power systems backup solutions, security assessment, penetration testing, and security remediation.	Cloud Infrastructure, Computer, Hardware	https://www.itechsol.com/	Danbury, Connecticut, United States	iTech Solutions provides computer hardware services.	404,277	4,402	10,227.17	68.66%	807.41%	0	1.0	0%	100%	0%	3,598,507	-752,678	-17.3%	East Coast, New England, Northeastern US	Active	1996-01-01	day		11-50				253117.0	USD	253117.0	
Foghorn Consulting	https://www.crunchbase.com/organization/foghorn-consulting	Technologies change. Our approach doesn’t. That’s because we steer you to real business solutions, not just towards the latest technology. We’re solving complex and critical business needs with code, not hardware. We’re weaving together multi-cloud environments to ensure that you remain innovative and competitive. And we’re doing it by automating where others are merely iterating. In short, we take a partnership approach to your business that incorporates and transcends the latest tech trends. But enough about us. For you, navigating to the cloud isn’t the goal. Building your business, that’s the goal. The mere fact that you are looking at cloud-based solutions now means two things: 1) you are looking for security, availability and flexibility and 2) you are already behind. Let’s navigate a clear path for your business.	Cloud Infrastructure, Cloud Management, Cloud Security, Consulting, IaaS, IT Management	http://www.foghornconsulting.com/	Mountain View, California, United States	Foghorn Consulting is an enterprise cloud consultant and AWS Premier partner, Google Cloud partner and Azure partner	231,300	4,278	4,882.5	22.33%	-66.67%	0	1.0	0%	100%	0%	3,643,141	-170,159	-4.46%	San Francisco Bay Area, Silicon Valley, West Coast	Active	2008-01-01	year	1.0	11-50	Alex Roosakos						
CloudPhysics	https://www.crunchbase.com/organization/cloudphysics	CloudPhysics provides predictive analytics for virtual datacenters, delivering data-driven insights that enable IT teams to proactively manage their virtualized infrastructures while reducing cost and risk. The company’s SaaS-based offering collects machine metadata of virtualized infrastructure and, using Big Data analytics combined with unique patent-pending datacenter simulation and resource management techniques, uncovers hidden operational hazards before problems emerge and identifies radical improvements in resource utilization. CloudPhysics’ unique approach to IT operations management gives IT teams more power than ever before to understand, troubleshoot, and optimize their virtualized datacenters.	Analytics, Big Data, Cloud Infrastructure, Private Cloud, SaaS	http://www.cloudphysics.com	Santa Clara, California, United States	CloudPhysics provides predictive analytics for proactive virtual datacenter management.	45,136	4,224	29,247.17	-90.71%	-75.4%	247	2.32	-5.69%	46.3%	-14.7%	3,685,722	2,790,932	311.91%	San Francisco Bay Area, Silicon Valley, West Coast	Active	2011-01-01	year	4.0	11-50	Irfan Ahmad, Jim Kleckner, John Blumenthal, Xiaojun Liu						https://www.cloudphysics.com/resources/privacy-policy/
Koko	https://www.crunchbase.com/organization/koko-3	The Internet can be a mean place. Koko keeps your community safe by using AI to identify bad actors and damaging content. Koko can detect issues in real time and notify your moderation system.  Koko is already used by several of the top online communities to support over 100 million moderation decisions per day with typical accuracy above 99%. Koko originated at the MIT Media Lab and has collaborations with MIT, Stanford, Harvard, NYU, Columbia, and Cambridge. The company has raised $3.5M in financing from top investors including USV and Omidyar Network. Koko is based in New York City and is actively hiring for engineering, design, product management, and sales.  	Artificial Intelligence, Cloud Infrastructure, Information Technology, Machine Learning, SaaS, Software	https://koko.ai/	New York, New York, United States	 AI Powered Community Moderation	45,560	4,114				0	1.0		100%		3,702,158			Greater New York Area, East Coast, Northeastern US	Active	2014-01-01	year	3.0	1-10	Fraser Kelton, Kareem Kouddous, Robert R. Morris						https://www.koko.ai/privacy
Machine Zone	https://www.crunchbase.com/organization/machine-zone	Machine Zone develops mobile games in various genres that include fantasy/RPG/MMO. It offers its games for Android. iPad, iPhone, and iPod Touch platforms.  Gabriel Leydon, Halbert Nakagawa, and Michael Sherrill founded Addmired in 2008 that became Machine Zone in March 2012. Its headquarters is in Sunnyvale in California.	Casual Games, Cloud Infrastructure, MMO Games, Mobile, Real Time	http://www.mz.com	Palo Alto, California, United States	Machine Zone develops applications and games for users of social networks and mobile devices.	5,872	4,094	6,520.17	-41.95%	1,800%	0	1.07	-46.87%	93.36%	68.4%	3,730,329	1,077,587	40.62%	San Francisco Bay Area, Silicon Valley, West Coast	Active	2008-01-01	year	3.0	501-1000	Gabriel Leydon, Halbert Nakagawa, Michael Sherrill	6.0	1,450	1350684.0	USD	1350684.0	https://www.mz.com/privacy-policy/
BYOC - Bring Your Own Cloud	https://www.crunchbase.com/organization/byoc---bring-your-own-cloud	BYOC: One command control of data center services on any cloud. 	Cloud Computing, Cloud Infrastructure, Cloud Management	http://byoc.io/	New York, New York, United States	BYOC: One command control of data center services on any cloud. 	441,026	4,034	2,011.17	984.41%	-48.45%	478	3.79	279.47%	33.53%	-66.47%	3,748,397	-5,046,079	-57.38%	Greater New York Area, East Coast, Northeastern US	Active	2015-01-01	year	1.0	1-10	Daniel Negri						https://byoc.io/privacy-policy/
Jamcracker	https://www.crunchbase.com/organization/jamcracker	Jamcracker is a cloud services management and cloud governance solutions company, with more than a decade of experience providing industry leading software and services. The Jamcracker platform powers the cloud services provisioning, cloud governance, management and operations for enterprise and government organizations, telecom service providers, managed services providers, systems integrators, distributors, value added resellers and technology providers. Jamcracker helps organizations manage, deliver, and govern their public, private and hybrid multi cloud services in addition to brokering third-party ISV cloud services. Using Jamcracker solutions, IT organizations and service providers can now unify and optimize cloud services delivery for their employees, customers, and channels. Jamcracker gives the flexibility you need to respond to rapidly changing business requirements. The Jamcracker platform greatly reduces the complexity and cost of multi cloud management and delivery. Moreover, our platform automates cloud governance, cloud cost management, policy controls and operations management.	Cloud Computing, Cloud Infrastructure, Cloud Management, Software	http://www.jamcracker.com	Santa Clara, California, United States	Jamcracker provides Cloud Service Brokerage, Cloud Management & Cloud Governance Solutions	195,162	3,935	2,479	138.48%	-73.91%	176	1.1	10.47%	89.53%	-10.47%	3,774,288	-1,258,332	-25%	San Francisco Bay Area, Silicon Valley, West Coast	Active	1999-01-01	year	2.0	101-250	K. B. Chandrasekhar, Mark Terbeek						
OrangeGrid	https://www.crunchbase.com/organization/orangegrid-llc	OrangeGrid is the vision of two competing Fintech pioneers who joined forces and set out to disrupt the financial services industry with the introduction of a revolutionary no-code workflow application for business process improvement. OrangeGrid has since built a team of the very best technologists and financial services process experts, who are capable of quickly understanding and automating even the most complicated business process rule, policies, and procedures. Empowering People in Process with the tools that business leaders need to create new process applications quickly – or consolidate and migrate existing applications – while allowing for affordable change agility. OrangeGrid’s award-winning developer-free framework makes it possible!	Banking, Cloud Infrastructure, Financial Services, FinTech, PaaS, SaaS, Software	http://orangegrid.com	Brea, California, United States	Digitizing business processes and seamlessly connecting siloed legacy systems within a single and intuitive ecosystem	50,517	3,870	114,941.33	-52.24%	22.2%	1,156	3.0	-41.75%	0%	-18.45%	3,804,129	1,360,816	55.7%	Greater Los Angeles Area, West Coast, Western US	Active	2014-07-14	day	2.0	11-50	Dustin Sauter, Todd Mobraten			738702.0	USD	738702.0	https://www.orangegrid.com/privacy-policy
iCityWork	https://www.crunchbase.com/organization/icitywork		Cloud Infrastructure, Drones, Web Apps, Web Development	https://www.icitywork.com	Fresno, California, United States	iCityWork is an open government tech company that specialises in web and app development, cloud hosting, drone services, and others.	1,928,433	3,850		-58.17%		0	1.0	0%	100%	0%	3,802,989	1,638,226	75.68%	West Coast, Western US	Active											
Zebrunner	https://www.crunchbase.com/organization/zebrunner	Zebrunner Inc. is the leading provider of test automation tools and solutions that help to deliver bug-free products at a high speed. Since 2020, Zebrunner Inc. enables organizations to build a transparent test automation process, detect & fix issues 10x faster as well as reduce business expenses. More than 100 million tests have been analyzed with the Zebrunner Testing Platform, the most comprehensive and reliable testing platform. More than 1 million quality reports have been generated that allowed dozens of companies to identify gaps in team productivity, optimize workload, and control product quality & ROI.	Apps, Cloud Infrastructure, Developer Tools, Information Technology, Mobile Apps, SaaS, Software, Web Apps	https://www.zebrunner.com/	Roseville, California, United States	Zebrunner Inc. provides a toolset for effective QA & easy bug-fixing process with a scalable execution infrastructure & testing platform.	424,111	3,812	1,537.33	26.27%	11.59%	3	1.14	14.06%	85.94%	-14.06%	3,824,671	-386,469	-9.18%	West Coast, Western US	Active	2020-01-01	month		11-50							
K3 Technology	https://www.crunchbase.com/organization/k3-technology		Cloud Infrastructure, Cloud Storage, Cyber Security, Information Technology, IT Management	https://k3techs.com	Denver, Colorado, United States	K3 Technology is an information technology company that provides cybersecurity, cloud infrastructure, and IT management services.	312,343	3,804	3,080.83	158.42%		0	1.0	0%	100%	0%	3,827,350	-2,158,665	-36.06%	Greater Denver Area, Western US	Active	2017-01-01	year	1.0	11-50	Kelly Kercher			21149.0	USD	21149.0	https://k3techs.com/privacy-notice/
Jumpline	https://www.crunchbase.com/organization/jumpline		Cloud Infrastructure, Domain Registrar, Web Hosting	https://www.jumpline.com/	St. Petersburg, Florida, United States	Jumpline renders web hosting, cloud servers, domain registration, VPS server, technical support and email marketing services.	455,956	3,798				761	7.75		0%		3,829,253			Tampa Bay Area, East Coast, Southern US	Active	1997-01-01	year									
VAR Insights	https://www.crunchbase.com/organization/var-insights		Cloud Infrastructure, Cyber Security, Information Technology, Software	https://www.varinsights.com	Horsham, Pennsylvania, United States	VAR Insights specializes in software development, cybersecurity, cloud infrastructure, information technology, and networking services.	795,851	3,779	7,256.33	-61.8%	-99.54%	0	1.0	-11.3%	100%	14.6%	3,828,123	1,735,593	82.94%	Greater Philadelphia Area, Great Lakes, Northeastern US	Active											https://www.varinsights.com/static/privacy
RightBrain Networks	https://www.crunchbase.com/organization/rightbrain-networks		Cloud Infrastructure, Education, Mobile Apps, Software	http://www.rightbrainnetworks.com	Ann Arbor, Michigan, United States	Michigan-based team of software engineers and site reliability engineers building applications infrastructure and educational solutions	750,655	3,704		86.41%		24	1.2	19.79%	80.2%	-19.8%	3,873,777	-1,099,790	-22.11%	Great Lakes, Midwestern US	Active	2009-01-01	year		11-50							
Budgyt	https://www.crunchbase.com/organization/budgyt		Accounting, Cloud Infrastructure, Finance, Internet, SaaS, Software	https://www.budgyt.com	New York, New York, United States	Budgyt is an affordable Business Budgeting Software for Small to Midsize Companies and Nonprofits.	232,708	3,686	5,072	76.62%	90.85%	584	3.12	53.09%	38.33%	-50.22%	3,881,072	-1,017,455	-20.77%	Greater New York Area, East Coast, Northeastern US	Active	2013-01-01	day	1.0	11-50	James McCoy						
greymatter.io	https://www.crunchbase.com/organization/decipher-technology-studios	Grey Matter or greymatter.io, is an intelligent mesh platform for enterprise microservice, container, and hybrid cloud operations and management. Our focus on enabling enterprise governance, risk and compliance by leveraging the service mesh technologies for the development to day 2 AI Ops lifecycle. Our platform delivers reliable secure network performance, service level management and business intelligence, resource control, automation, and cost efficiency for the enterprise.  Grey Matter is a pathway to enterprise modernization and cost control, providing interlacing service control, data management, and neural net functions designed to optimize enterprise distributed systems ROI and TCO. Grey Matter facilitates the management of distributed microservice workloads, controls network traffic, and smartly scales infrastructure to meet business demands. The capture and analysis of over 100 telemetry types powers onboard service level management and control. Our customers rely on Grey Matter’s speed, security, and reliability for critical distributed cloud management and data discovery, storage, and global sharing requirements. An industrial AI software pathway to intent-based networking and AIOps, the platform is also designed to optimize enterprise network availability and performance through AI neural network analysis, enabling AIOps for contextual awareness and intelligent network monitoring.	Artificial Intelligence, Cloud Computing, Cloud Infrastructure, Data Integration, Developer APIs	https://greymatter.io	Alexandria, Virginia, United States	greymatter.io uses the service mesh ecosystem to create connected intelligence and intervention for next-gen modern infrastructure.	18,293	3,668				2,453	11.2		20%		3,887,791			Washington DC Metro Area, East Coast, Southern US	Active	2015-01-01	day	1.0	11-50	Christopher Holmes						https://greymatter.io/privacy-policy/
Spry Servers	https://www.crunchbase.com/organization/spry-servers	Spry Servers is a web hosting, colocation and cloud services provider focused on delivering an exceptional client experience. Founded in 2013 and is based in Phoenix, Arizona.	Cloud Computing, Cloud Infrastructure, Information Services, Information Technology, Internet, Web Hosting	https://www.spryservers.net	Phoenix, Arizona, United States	Spry Servers is a web hosting, colocation and cloud services provider focused on delivering an exceptional client experience.	946,112	3,622	7,359.83	-62.95%	-96.96%	30	2.07	-50.36%	66.92%	13.77%	3,884,363	1,780,524	84.63%	Greater Phoenix Area, Western US	Active	2013-10-03	day	1.0	1-10	Tab Fitts						https://www.spryservers.net/legal/privacy
GridX	https://www.crunchbase.com/organization/gridx	GridX, Inc. develops software that solves back office information technology (IT) challenges utilities are facing as a result of smart grid and smart meter deployment. The company was founded in 2010 and is based in Sunnyvale, California.	Big Data, Clean Energy, Cloud Infrastructure, Energy	http://www.gridx.com	Milpitas, California, United States	GridX is a provider of cloud-based business operations support tools to utilities and energy suppliers.	55,630	3,591				1,039	1.25		75%		3,926,174			San Francisco Bay Area, Silicon Valley, West Coast	Active	2010-01-01	year	1.0	51-100	Jian Zhang			62247.0	USD	62247.0	
Ricochet360	https://www.crunchbase.com/organization/speed-to-contact	Ricochet360 is the All-In-One Dialer, CRM & Marketing Automation Platform  Ricochet360 is an enterprise sales automation company. Ricochet360 includes the fastest internet lead dialer commercially available. Ricochet can turn ordinary agents into sales superstars. It is clean, efficient, and great for both inbound & outbound call centers looking to automate their workflow:  Cloud Phone System & Dialer  If you want to beat your competitors to incoming leads, Ricochet provides the fastest commercial dialer available. Call more leads than ever with our new multi-line dialer.  Lead Management System & CRM  Easily manage all your prospects, calls, emails and more with Ricochet’s easy-to-use, full-featured contact and lead management system.  Inbound Call Tracking & IVR System  Route and track your inbound phone calls to specialized sales teams or hunt groups. Increase control of your inbound call traffic and maximize results with all your inbound marketing efforts.  Marketing Automation Platform  Streamline time-consuming marketing and sales tasks with intelligent call, email and sms campaigns that are directly integrated with your Ricochet dialer.  Speed to Contact develops custom dialing solutions and integrates with many software platforms.  Integrated CRM's Include: Velocify (Formerly leads360), LeadMailbox, Mortech/Marksmen, MortgageCEO, LoanXEngine, Salesforce, SugarCRM, ZohoCRM, and many more.  Lead Provider Integrations include: Lowermybills, LendingTree, LeadPoint, Bills.com, ReallyGreatRate, Quinstreet, SmartQuote, and many more.	Cloud Infrastructure, CRM, Marketing Automation, SaaS, Software	http://www.ricochet360.com/	El Segundo, California, United States	Ricochet360 is an all-in-one CRM, Cloud Phone System, Dialer and Marketing Automation Platform.	71,914	3,555	9,552	-34.77%	-98.6%	6	1.5	-0.05%	90.01%	20.01%	3,940,391	800,494	25.49%	Greater Los Angeles Area, West Coast, Western US	Active	2010-01-01	year	1.0	11-50	Beau Bratton						
AwardCore	https://www.crunchbase.com/organization/awardcore	AwardCore provides custom award show systems and unparalleled support for shows large and small. It is a software company. It offers services like cloud hosting, cloud infrastructure, gps, auto-create web-ready files, audio, video, and more. They can quickly adapt and implement changes as improvements are developed.	Cloud Infrastructure, GPS, Software, Video	https://www.awardcore.com	San Francisco, California, United States	AwardCore is a software company.	1,587,504	3,415	5,868.5	36.93%	218.14%	649	8.4	354.15%	20%	-14.89%	4,023,564	-572,151	-12.45%	San Francisco Bay Area, West Coast, Western US	Active			1.0	11-50	John DiMaggio						
MassiveGRID	https://www.crunchbase.com/organization/massivegrid	MassiveGRID is a global high-end Service Provider, with over 19 years of hands-on experience in the fields of high-availability service hosting, turn-key service solution & development. Our services are designed for demanding clients that run Business Critical Services or need high performance & large network capacity. MassiveGrid’s client portfolio includes financial institutions, telecoms & cutting-edge technology organizations, among others. Our extensive technical expertise and broad experience in problem solving allows us to provide high-quality customized telecoms & IT solutions to any technology challenge. Operations Center engineers are available 24x7x365 and handle on-the-spot any network issue. We are committed in providing a leading-class service and we are able to offer 100% service uptime through our 100% SLA. Our Infrastructure is multi-clustered. Every cluster consists of many hardware servers, all of them in high-availability mode. Client’s servers run in a complete virtual environment fully isolated with each other on our clusters. If a hardware server in any of our clusters fails, then the services that were running in that hardware server get moved instantly to other servers of the cluster. Our storage is highly available as well. Unlike other cloud providers, we use clustered storage for top reliability in a multi-replicated architecture. Apart from reliable, our storage is very fast too, since we use Pure SSD. Our highly available storage cluster is self-healing and offers 100% storage uptime. Our network is also based on high-availability architecture and is fully redundant. The best Tier-1 Internet Providers are used for our links, which are at least duplicated. All Network elements are also following at least N+1 redundancy architecture. Traffic is automatically re-routed, in the event of a link failure. Upon client’s request, we can offer protection up to 4.5Tbps Distributed Denial of Service (DDoS) attacks. MassiveGRID is the ultimate cloud hosting provider. Our unmatched expertise allows us to define our industry's best practices and thus leads to a unique value proposition. Entry-level clients and enterprises with business-critical activities alike trust MassiveGRID for their day to day cloud management.	Cloud Computing, Cloud Infrastructure, Cloud Security, Cloud Storage, IaaS, Information Technology, Internet, IT Infrastructure, PaaS, Private Cloud	https://www.massivegrid.com	New York, New York, United States	The High-Availability Cloud Provider	229,322	3,385	3,382.67	-51.84%	-56.43%	755	4.06	-65.97%	63.33%	-71.62%	4,038,327	1,381,924	52.02%	Greater New York Area, East Coast, Northeastern US	Active	2016-05-26	day	1.0	11-50	Vasileios Stoidis						
Kindred Ventures	https://www.crunchbase.com/organization/kindred-ventures-2	Kindred Ventures is a seed-stage venture capital fund that supports startup companies. It is based in San Francisco, California, and was founded in 2014 by Steve Jang and Kanyi Maqubela.	Cloud Infrastructure, Finance, Financial Services, Venture Capital	http://www.kindredventures.com	San Francisco, California, United States	Kindred Ventures is a seed-stage venture capital fund that supports startup companies.	146,384	3,371	4,016.5	-19.18%	-98.78%	0	1.0	0%	100%	0%	4,003,395	472,594	13.38%	San Francisco Bay Area, West Coast, Western US	Active	2014-01-01	year	1.0	1-10	Steve Jang						
Otixo, Inc.	https://www.crunchbase.com/organization/otixo	Otixo brings team collaboration and communication into one place, so you can get more work done.  Otixo enables you to connect all your Cloud Drives and to collaborate with your Team. Get access to more than 30 Cloud Drives, such as Google Drive, Box, Dropbox, MEGA, OneDrive, FTP and many more. Transfer your cloud contents easily from one cloud to another or search for specific files using the extended search functionality. With the Otixo Team Spaces you get an advanced collaboration tool where you can invite your family members, friends, coworkers and all the people you know. Create a Team Space, invite people and chat with them about the files shared in the Space or about projects. Stay up-to-date with the notifications in your Team Channel. Find your own Personal Cloud Drive and your own Personal Team Space as default additions to your account to get you started right away. Move your projects forward by inviting the right people!	Cloud Infrastructure, Cloud Storage, Content, Data Integration, Data Storage, Online Portals, Productivity Tools, Project Management, Sharing Economy, Video Conferencing	https://www.otixo.com	San Francisco, California, United States	All your team collaboration and cloud management in one place	77,669	3,353	3,986.67	6.89%		0	1.0	0%	100%	0%	4,010,631	54,935	1.39%	San Francisco Bay Area, West Coast, Western US	Active	2010-04-12	day	1.0	1-10	Jens Birnbaum	5.0					
Congruity360	https://www.crunchbase.com/organization/congruity360	Congruity360 is a holistic data management provider enhancing the value of technology investments by improving data quality, offering cost optimization across IT operating expenses, providing control of disparate data sets, and expediting project timelines from a universal IT level – not the application level. A layer of cross-functional review tools empowers different teams within an organization to collaboratively manage data, delivering powerful data governance with built-in checks and balances.	Analytics, Big Data, Cloud Data Services, Cloud Infrastructure, Infrastructure, Privacy, Risk Management, Security, Software	https://www.congruity360.com/	Norwell, Massachusetts, United States	A data management platform for information security, data management, governance, and privacy teams in regulated, data-heavy industries.	20,069	3,310	6,019.5	112.04%		7	1.14	14.11%	85.89%	-14.11%	4,028,965	-1,137,055	-22.01%	Greater Boston Area, East Coast, New England	Active	2016-01-01	day	2.0	101-250	Brian Davidson, Sean Brady						https://www.congruity360.com/privacy-policy/
PerfectScale	https://www.crunchbase.com/organization/perfectscale	PerfectScale makes it easy for you to identify both under and over-provisioned workloads. By continuously comparing usage patterns with current configurations, PerfectScale instantly pinpoints at-risk workloads and areas to reduce your cloud costs.	Cloud Computing, Cloud Infrastructure, Software	http://www.perfectscale.io	Raleigh, North Carolina, United States	Govern, right-size and scale Kubernetes — the easy way	20,828	3,276		386.05%		0	1.0	0%	100%	0%	4,105,701	-3,536,633	-46.28%	Research Triangle, East Coast, Southern US	Active	2021-09-01	month	2.0	11-50	Amir Banet, Michael Sklyar						https://www.perfectscale.io/terms-of-service
Varcons	https://www.crunchbase.com/organization/varcons		Cloud Infrastructure, Information Technology, Software, Web Development	https://varcons.com	Chantilly, Virginia, United States	Varcons is an IT company that provides website and software development, and cloud services.	329,981	3,276				177	3.0		50%		4,126,258			Washington DC Metro Area, East Coast, Southern US	Active	2012-01-01	year		11-50				308632.0	USD	308632.0	
Silverback Data Center Solutions	https://www.crunchbase.com/organization/silverback-data-center-solutions	Silverback Data Center Solutions is an IT services company with a focus on migration, installation, physical support, decommissioning and audit of Enterprise and Commercial Data Center and technical environments. Silverback can provide the following services: • Technical Migrations of Mission Critical IT Assets - Data Center, Labs, Server Rooms • New Equipment Deployments - Full Rack • Data Center De-commissioning including Equipment Disposition and Data Destruction.	Cloud Infrastructure, Data Center, Information Technology, Internet, IT Infrastructure, Professional Services	https://teamsilverback.com/	Oakland, California, United States	Silverback Data Center Solutions is an IT professional services firm.	364,613	3,218	2,139.33	-16.39%		2	1.22	21.78%	78.21%	-21.79%	4,157,848	354,697	9.33%	San Francisco Bay Area, West Coast, Western US	Active	2003-01-01	year		11-50							https://teamsilverback.com/privacy-policy/
Alta Technologies	https://www.crunchbase.com/organization/alta-technologies	"Since 1995, Alta Technologies has been a leading global buyer and seller of enterprise IT equipment, helping resellers and users alike complete projects, upgrade systems and serve their network closets, server racks and data centers for less. We also pay top dollar for your excess IT equipment with data erasure, professional testing and worldwide logistics and decommissioning services available. Customers depend on our expert staff technicians to build systems exactly to their needs, ready to ship today... or to spec up component upgrades to extend the life of your existing systems. In order to deliver like-new quality that ""just works"", our team tests everything both on arrival and prior to shipment, so that we can meet your expectations and uphold our guarantees, over and over again. Networking: Cisco, Arista, HP, Dell, Extreme, Juniper, Mellanox an dmore Servers OEM: Dell, HP/HPE, Lenovo, Cisco UCS, IBM, Oracle, Sun Microsystems, Super Micro Servers ODM: Quanta, Wistron, Celestica and more for hyperscale environments, cloud, and custom use cases Data Storage: Dell/EMC, Equallogic, Compellent, NetApp, HP, IBM, Oracle and more"	Business Information Systems, Cloud Infrastructure, Data Center, Data Storage, Hardware, Information Technology, IT Infrastructure, Network Hardware, Web Hosting	https://altatechnologies.com	Plymouth, Minnesota, United States	Enterprise IT Hardware - buyer & seller of excess Servers, Networking & Data Storage Equipment	266,417	3,168	6,023.17	-68.45%	347.62%	31	1.77	76.96%	81.75%	-18.25%	4,125,147	2,046,929	98.49%	Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US	Active	1995-04-01	month	1.0	51-100	Patrick Wenning						https://www2.altatechnologies.com/privacy-policy
Elementl	https://www.crunchbase.com/organization/elementl	Elementl is building Dagster, an open-source orchestration platform for the development, production, and observation of data assets.	Big Data, Cloud Infrastructure, Information Technology, Internet, Software	https://www.elementl.com	San Francisco, California, United States	Elementl empower every organization to build a productive and scalable data platform.	9,121	3,156	2,457.5	6.87%	182.61%	0	1.0	-15.02%	100%	9.7%	4,131,784	26,818	0.65%	San Francisco Bay Area, West Coast, Western US	Active	2018-01-01	year	1.0	11-50	Nick Schrock						
KeepItSafe	https://www.crunchbase.com/organization/keepitsafe	KeepItSafe is a cloud data backup company specializing in disaster recovery and business continuity. Backed by a $1.2 billion public company, j2 Global®, Inc. (NASDAQ: JCOM), KeepItSafe meets data-security protection regulations with ISO 27001, SOC 2, HIPAA, and PCI compliance in 20+ data centers across three continents.  KeepItSafe’s holistic approach leverages its global footprint and best-of-breed technologies to deliver comprehensive data availability and as-a-Service solutions by offering custom managed and monitored services with 24/7 live support. KeepItSafe’s secure enterprise-class data centers support virtual-, physical-, and cloud-to-cloud solutions with 256-bit encryption and multi-cloud scalability via a global network of service providers, system integrators, and cloud resellers.	Cloud Data Services, Cloud Infrastructure, Cloud Storage, Data Storage, SaaS	http://www.keepitsafe.com	Los Angeles, California, United States	KeepItSafe offers global cloud data availability for Backup, Disaster Recovery-as-a-Service (DRaaS), Endpoint and SaaS data protection. 	196,839	3,101	4,515.83	2,303.88%	107.89%	14	2.96	189.33%	21.57%	-78.26%	4,156,890	-5,465,712	-56.8%	Greater Los Angeles Area, West Coast, Western US	Active	2003-06-03	day	2.0	501-1000	Alexander Hagerup, Eoin Blacklock						https://www.keepitsafe.com/privacy-policy/
Aloi	https://www.crunchbase.com/organization/aloi	Focus on your product roadmap. We’ll connect your software. Aloi is a secure software integrations platform, allowing development teams to connect applications by invoking APIs through GraphQL queries.  Don’t get bogged down on custom integration work. Save time and resources with reusable GraphQL starting points to connect your existing technology stack with any software or application.	Cloud Infrastructure, Developer APIs, Developer Tools, SaaS, Software	https://aloi.io/	Chicago, Illinois, United States	Connect the world’s cloud applications with Aloi.	341,891	3,084	1,262	479.7%		0	1.0	-9.21%	100%	1.72%	4,164,978	-3,137,905	-42.97%	Greater Chicago Area, Great Lakes, Midwestern US	Active	2018-03-01	month	4.0	1-10	Bradley Sayad, Toby Miller, Tommy Skinner, Wally Ibrahim						https://www.aloi.io/privacy-policy/
Abiquo Group	https://www.crunchbase.com/organization/abiquo-group	Abiquo is one of the original pioneers of cloud computing. This early start, and over 75 man-years of engineering effort, has allowed us to build the broadest and deepest hybrid cloud management software solution available on the market today. Designed from the ground-up as a strategic solution to meet the needs of customers, unlike other solutions, Abiquo was specifically architected to be hardware and hypervisor independent from the start – a tremendous advantage in today’s hybrid cloud environments. You can see from the timeline below that Abiquo’s cloud management software supported multiple infrastructure types from the first version and has now grown to manage hybrid cloud environments from on-premise hypervisors to Docker containers to public clouds.	Cloud Computing, Cloud Infrastructure, Cloud Management, Open Source, Software, Virtualization, Web Hosting	http://www.abiquo.com	Redwood City, California, United States	Abiquo Group develops hybrid cloud management software for customers to build and monetize cloud-based services.	52,593	3,060	1,876.67	-5.23%	-51.85%	25	1.49	49.02%	68.91%	-31.09%	4,272,291	175,632	4.29%	San Francisco Bay Area, Silicon Valley, West Coast	Active	2006-01-01	year	1.0	11-50	Xavier Fernandez						
Hop	https://www.crunchbase.com/organization/giggl		Cloud Computing, Cloud Infrastructure, Media and Entertainment, Social Media, Software, Video Streaming	https://hop.io	West Hollywood, California, United States	Cloud platform focussing on realtime services, including GPU acceleration and low-latency global video delivery. Creators of Giggl.	22,151	3,005	118,663	-53.29%	-93.82%	17	1.77	22.67%	23.19%	-65.41%	4,300,426	1,543,345	55.98%	Greater Los Angeles Area, West Coast, Western US	Active	2020-04-27	day	4.0	11-50	Oliver Reason, Phineas Walton, Rob Morrissey, Tony Zog						
