Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Elcon Precision,https://www.crunchbase.com/organization/elcon-precision,1967-01-01,year,101-250,,https://www.elconprecision.com/,"Commercial, Machinery Manufacturing, Manufacturing, Product Design, Productivity Tools","San Jose, California, United States","Elcon Precision provides metallization, photochemical machining, brazed assembly services, vacuum tight ceramic metal assemblies, and parts.","516,502",,,,,,,,,,,,
REXEL France,https://www.crunchbase.com/organization/rexel-france,1967-01-01,year,1001-5000,,https://www.rexel.fr,"Manufacturing, Productivity Tools, Supply Chain Management, Wholesale","Paris, Ile-de-France, France","Rexel France is a wholesale firm that supplies electrical devices, cabling systems, circuit protectors, and lighting products.","539,615","565,514","589,885.83",1.45%,3.05%,574,4.04,31.6%,43.73%,-3.15%,"166,579","4,290",2.64%
Action Collection Agency of Boston,https://www.crunchbase.com/organization/action-collection-agency-of-boston,1967-01-01,year,11-50,,https://www.actioncollection.com/,"Collection Agency, Debt Collections, Health Care, Productivity Tools","Middleboro, Massachusetts, United States","Action Collection Agency of Boston offers collection tools, healthcare debt recovery and information technology services.","766,399","10,402",,23.57%,22.45%,60,1.31,-46.74%,79.58%,336.05%,"2,187,524","-209,683",-8.75%
Micro Forms Inc,https://www.crunchbase.com/organization/micro-forms-inc,1967-01-01,day,11-50,,https://mforms.com/,"Electronics, Manufacturing, Productivity Tools","Garland, Texas, United States","Micro Forms, Inc. is a leader in production metal stamping. They specialize in precision metal stamped parts and assemblies.","1,006,555",536,,,,5,2,,0%,,"5,748,668",,
JMT,https://www.crunchbase.com/organization/jmt-43bc,1967-01-01,year,11-50,,https://www.jmtint.com,"Industrial Design, Industrial Engineering, Machinery Manufacturing, Manufacturing, Productivity Tools","Nilüfer, Bursa, Turkey",JMT is a design and manufacturing company that provides metal fabrication machine tools for structural steel working applications.,"1,102,472",,,,,,,,,,,,
Arribas Brothers,https://www.crunchbase.com/organization/arribas-brothers,1967-01-01,year,101-250,,https://www.arribas.com/,"Flowers, Gift, Product Design, Productivity Tools","Anaheim, California, United States","Arribas Brothers expertise in creating and designing handcrafted glass blowing, holders, custom awards, collectibles, and jewelry creation.","1,142,122","14,627","7,244.67",-39.49%,,711,2.29,129.09%,56.97%,-43.03%,"1,807,958","478,084",35.95%
Alard Machine Products,https://www.crunchbase.com/organization/alard-machine-products,1967-01-01,year,101-250,,https://www.alardmachine.com,"Manufacturing, Mechanical Engineering, Productivity Tools","Gardena, California, United States","Alard Machine Product manufactures automatic screw machining, CNC grinding, milling, turning, honing, grinding, assembly and drilling tools.","1,146,244",,,,,,,,,,,,
PM El-Beregning ApS,https://www.crunchbase.com/organization/pm-el-beregning-aps,1967-01-01,year,,PM Electricity Calculation offers powerful tools for calculating Electrical Contracts.,https://www.elberegn.dk,"Business Development, Energy, Productivity Tools","Brøndby Strand, Hovedstaden, Denmark",PM Electricity Calculation offers powerful tools for calculating Electrical Contracts.,"1,411,741",,,,,,,,,,,,
SEDA,https://www.crunchbase.com/organization/seda-environmental,1967-01-01,year,51-100,,https://www.seda-international.com/us/,"Automotive, Industrial, Manufacturing, Productivity Tools, Recycling","Kössen, Tirol, Austria","SEDA is a manufacturing company that offers vehicle de-pollution, dismantling, and recycling equipment for the automotive industry.","1,500,902",6,,,,76,6.5,,0%,,"10,886,529",,
RPM,https://www.crunchbase.com/organization/rpm-3a93,1967-01-01,year,11-50,"RPM's focus is an engineers, skilled craftsmen, state-of-the-art machining technologies and process controls have ensured today's industry from the automotive, fastener, metal container and aerospace segments that the finished product not only meets industry ISO standards, but also is fully guaranteed to meet individual customer's specifications.",http://www.rpmprecision.com,"Delivery, Machinery Manufacturing, Productivity Tools, Test and Measurement","Arcadia, Ohio, United States","RPM provides precision grinding, machining, and finishing for close tolerance tools.","1,825,594",,,,,,,,,,,,
Prophet 21,https://www.crunchbase.com/organization/prophet-21,1967-01-01,year,251-500,Prophet 21 is a developer of technology vendor solutions. The company offers Windows and Unix enterprise software solutions to automate the commercial activities between companies and their clients.,,"Business Development, Productivity Tools, Software","Yardley, Pennsylvania, United States",Prophet 21 is a developer of technology vendor solutions.,"1,958,799",,,,,,,,,,,,
Microsheen,https://www.crunchbase.com/organization/microsheen-corporation,1967-01-01,day,1-10,,http://www.microsheencorporation.com,"Industrial, Mechanical Engineering, Productivity Tools","Ohio, Illinois, United States",Microsheen offers a wide range of high-quality equipment and tools for the metalworking industries.,"1,983,950",,,,,,,,,,,,
Chanic,https://www.crunchbase.com/organization/chanic,1967-12-31,day,501-1000,,http://www.chanic.com,"Construction, Machinery Manufacturing, Manufacturing, Productivity Tools","Watermael-boitsfort, Brussels Hoofdstedelijk Gewest, Belgium","Chanic is an expertise in metal construction, shipbuilding, industrial refrigeration, elevators, marine engines, productivity tools, etc.","1,252,539",,,,,,,,,,,,
Outilac,https://www.crunchbase.com/organization/outilac,1967-12-31,day,11-50,,http://www.outilac.be,"Industrial, Industrial Manufacturing, Productivity Tools","Liège, Liege, Belgium","Outilac is an industrial tools supplier that offers a wide variety of tools and industrial supplies like cutting tools, and machines.","1,269,930",,,,,,,,,,,,
Tryges,https://www.crunchbase.com/organization/tryges,1967-12-31,day,11-50,,http://www.tryges.be,"Machinery Manufacturing, Manufacturing, Productivity Tools, Sales","Wijnegem, Antwerpen, Belgium","Tryges is into the manufacturing and selling tankers, compressors, and bunker ships, fuel, LPG transport & aviation equipment.","1,779,529",,,,,,,,,,,,
Racine Metal-Fab,https://www.crunchbase.com/organization/racine-metal-fab,1968-01-01,year,101-250,"Racine Metal-Fab specializes in fabricating, coating, plating, electromechanical assembly of precision metal components for OEM companies.",https://www.rm-f.com/,"Industrial Engineering, Laser, Manufacturing, Productivity Tools","Sturtevant, Wisconsin, United States","Racine Metal-Fab specializes in fabricating, coating, plating, electromechanical assembly of precision metal components for OEM companies.","582,767",,,,,,,,,,,,
Meyer,https://www.crunchbase.com/organization/meyer-c98e,1968-01-01,day,1-10,,http://www.meyergruppe.ch,"Agriculture, Construction, Productivity Tools","Hochdorf, Luzern, Switzerland","Meyer specializes in barn building, environmental, remote control and natural gas technology, and agricultural equipment.","1,204,518",,,,,,,,,,,,
Cestaro Bernardo,https://www.crunchbase.com/organization/cestaro-bernardo,1968-01-01,year,11-50,,https://www.cestarobernardo.com,"Industrial, Manufacturing, Productivity Tools, Supply Chain Management","Villa Del Conte, Veneto, Italy",Cestaro Bernardo is a distribution company that supplies custom industrial acoustics and ventilation systems.,"1,478,043",,,,,,,,,,,,
Masson Trailers,https://www.crunchbase.com/organization/masson-trailers,1968-01-01,year,11-50,"Masson Trailers manufacture agricultural equipment, particularly trailers such as cattle trucks, trays, machine carriers, and clamps. Masson establishments a wide range for all needs Tailor-made, options, personalization.",https://www.masson-remorques.fr,"Manufacturing, Productivity Tools, Retail","Port-sur-saône, Franche-Comte, France","Masson Trailers manufacture agricultural equipment, particularly trailers as cattle trucks, trays, machine carriers, and clamps.","1,691,317",704,,,,0,1,,100%,,"7,680,907",,
S & S Precision,https://www.crunchbase.com/organization/s-s-precision,1968-01-01,year,1-10,"S & S Precision takes pride in checking parts after grinding or using temperature probes while grinding. Many materials, including but not limited to ceramics, aluminium, brass, plastics, bronze, stainless, carbide, inconel, soft and hard tool steels, can be jig ground and surface ground by them. All of their machining centres are laser calibrated.",http://www.sandsprecisionnj.com,"Manufacturing, Productivity Tools, Supply Chain Management","Pennsauken, New Jersey, United States",S & S Precision provides jig grinding and machining services for the tool and die industry.,"1,729,559",,,,,,,,,,,,
Otelo,https://www.crunchbase.com/organization/otelo,1968-11-19,day,1-10,,http://www.otelo.be,"Industrial, Online Portals, Productivity Tools","Forest, Hainaut, Belgium",Otelo is an online industrial tools portal that specializes in the distribution of professional tools and industrial supplies.,"898,539","6,793","7,366.17",707.73%,-90.91%,2,1.31,-12.48%,84.34%,68.68%,"2,850,869","-4,356,399",-60.44%
Systems Engineering,https://www.crunchbase.com/organization/systems-engineering-69ca,1969-01-01,year,11-50,"Systems Engineering provides management tools. Their NAVICA revolution MLS system intuitive user interface, various display options, flyer builder, system email , auto email notifications, and property panorama visual tour integration.",https://www.seisystems.com,"Productivity Tools, Property Management, Real Estate","Greensboro, North Carolina, United States",Systems Engineering develops MLS systems and management tools.,"492,914",,,,,,,,,,,,
Friedrich Delker,https://www.crunchbase.com/organization/friedrich-delker,1969-01-01,year,101-250,,https://www.delker.com/start,"Machinery Manufacturing, Manufacturing, Mechanical Design, Mechanical Engineering, Productivity Tools, Wholesale","Essen, Nordrhein-Westfalen, Germany","Friedrich Delker manufactures and supplies machine tools, electrical tools, factory equipment, precision tools, and industrial safety items.","735,372",953,,9.92%,,0,1,0%,100%,0%,"7,106,150","-66,679",-0.93%
Cables y Eslingas,https://www.crunchbase.com/organization/cables-y-eslingas,1969-01-01,year,101-250,"Cables y Eslingas is a manufacturing company that supplies steel cables, lifting systems, and accessories. Also offers tailored lifting solutions as well as safe work-at-height services. Furthermore, commercialization and distribution of lifting products and solutions in a wide range of industries including steel, construction and civil works, mining, and energy sectors. Provides steel cables, cable, steel and textile slings for lifting loads, manual, electric, and pneumatic cable and chain hoists, cancamos, claws, magnetic elevators, portable cranes, and rockers.",https://www.cyesa.com/,"E-Commerce, Industrial, Machinery Manufacturing, Productivity Tools","Cerdañola, Catalonia, Spain","Cables y Eslingas is an online store that offers a variety of lifting, cranes, winches, hoists, steel rope, and accessories.","992,091","1,431","5,591.17",-88.89%,-99.69%,0,1,-7.1%,100%,3.97%,"6,314,026","4,428,538",234.87%
Syskomp Group,https://www.crunchbase.com/organization/syskomp-gehmeyr,1969-01-01,year,51-100,,https://www.syskomp-group.com/en/,"Industrial, Manufacturing, Plastics and Rubber Manufacturing, Product Design, Productivity Tools","Amberg, Bayern, Germany","Syskomp Group is a manufacturing company that produces aluminum profile kits, transfer systems, pneumatics, lifting, and industrial tools.","1,094,224",801,,,,13,2.5,,50%,,"7,288,104",,
Electro Adapter,https://www.crunchbase.com/organization/electro-adapter,1969-01-01,year,101-250,,https://electro-adapter.com,"Industrial, Manufacturing, Product Design, Productivity Tools","Chatsworth, California, United States","Electro Adapter manufactures and supplies circular backshells, connectors, adapters, clamps, and strain reliefs for interconnecting devices.","1,358,268",,,,,,,,,,,,
Bühler Technologies,https://www.crunchbase.com/organization/bühler-technologies,1969-01-01,year,51-100,,https://www.buehler-technologies.com/de/start/,"Manufacturing, Oil and Gas, Productivity Tools","Ratingen, Nordrhein-Westfalen, Germany","Bühler Technologies manufactures and supplies hydraulic, particle monitoring, flow meter, water detector, components and accessories.","1,384,416","1,266",,-22.9%,"3,512.5%",289,4.5,282.71%,0%,,"6,637,474","1,305,317",24.48%
Anderson Electric Controls,https://www.crunchbase.com/organization/anderson-electric-controls,1969-01-01,year,,,https://www.aecontrols.com,"Electronics, Industrial Design, Industrial Engineering, Manufacturing, Productivity Tools, Test and Measurement","Kent, Washington, United States","Anderson Electric Controls manufactures and produces DC power conversion supplies, battery cyclers, EV dynamometers, and mining machinery.","1,421,782",,,,,,,,,,,,
Bogue Machine Company,https://www.crunchbase.com/organization/bogue-machine-company,1969-01-01,year,11-50,Bogue Machine Company is a machining shop that creates complex components for civilian and defense contractors. They have a similar machining technology. They offer CNC machining centers with consistency and dependability machine tooling.,https://boguemachine.com,"Laser, Machinery Manufacturing, Productivity Tools","Albuquerque, New Mexico, United States",Bogue Machine Company is a precision machining facility.,"1,458,129",,,,,,,,,,,,
National Crane Services,https://www.crunchbase.com/organization/national-crane-services,1969-01-01,year,11-50,,https://www.natlcrane.com/,"Industrial, Machinery Manufacturing, Manufacturing, Productivity Tools, Shipping","Dade City, Florida, United States","National Crane Services is an industrial company that specializes in inspections, material handling, and heavy lift testing services.","1,651,549",,,,,,,,,,,,
Bodensee Organisation Products,https://www.crunchbase.com/organization/bodensee-organisation-products,1969-01-01,day,11-50,,https://www.bodensee-products.de/,"Business Development, E-Commerce, Productivity Tools, Professional Services","Meckenbeuren, Baden-Wurttemberg, Germany",Bodensee Organization Products is a company that specializes in personalized presentation solutions for goods and services.,"1,741,461",110,,,,61,4,,0%,,"10,304,624",,
Smiths Equipment Hire,https://www.crunchbase.com/organization/smiths-equipment-hire,1970-01-01,year,101-250,,https://smithshire.com,"Construction, Manufacturing, Productivity Tools, Rental","Blackpool, Blackpool, United Kingdom","Smiths Equipment Hire is a retailer of a wide range of construction equipment, products, machines and tools for rent.","552,733","7,566","28,718.33",-77.78%,-14.15%,91,2.8,-5.38%,48.05%,49.6%,"2,636,552","1,563,976",145.81%
Pennsylvania Insert,https://www.crunchbase.com/organization/pennsylvania-insert,1970-01-01,year,,,https://pennsylvaniainsert.com,"Industrial, Manufacturing, Plastics and Rubber Manufacturing, Productivity Tools","Royersford, Pennsylvania, United States","Pennsylvania Insert manufactures and markets wall sleeves, pulling irons, cable racks, hardware, access doors, and plastic products.","637,340",,,,,,,,,,,,
Tanvic Tyres,https://www.crunchbase.com/organization/tanvic-tyres,1970-01-01,year,11-50,,http://www.tanvic.co.uk/,"Automotive, Customer Service, Mechanical Engineering, Productivity Tools","Lincoln, Lincolnshire, United Kingdom","Tanvic Tyres is an automotive servicing company that provides tire repairs, wheel alignment, air conditioning, and suspension services.","837,144",,,,,,,,,,,,
Ingersoll CM Systems,https://www.crunchbase.com/organization/ingersoll-cm-systems,1970-01-01,year,11-50,"Ingersoll CM Systems provides design, manufacture, installation, and repair services for machine tools. There are a variety of machines and processes offered by ICMS, including end machining, turning, broaching, main and pin journal milling, deep fillet rolling, and oil hole drilling.",https://www.teamicms.com,"Industrial, Machinery Manufacturing, Manufacturing, Product Design, Productivity Tools","Midland, Michigan, United States",Ingersoll CM Systems manufactures machine tools.,"855,968",,,,,,,,,,,,
Mendritzki,https://www.crunchbase.com/organization/mendritzki,1970-01-01,year,,,https://www.mendritzki.de,"Machinery Manufacturing, Manufacturing, Productivity Tools","Plettenberg, Nordrhein-Westfalen, Germany","Mendritzki is a steel processing firm that offers precision parts & MWS cutting tools to the automotive, textile & construction industries.","1,195,260",,,,,,,,,,,,
Bruno Rapp,https://www.crunchbase.com/organization/bruno-rapp,1970-01-01,day,1-10,,http://www.rappag.ch,"Consulting, Productivity Tools","Münsingen, Bern, Switzerland","Bruno Rapp offers installation and maintenance machines and tools for the tank inspection, construction, and oil firing industries.","2,016,935",96,,,,31,4,,0%,,"10,392,999",,
Arnold Winkler,https://www.crunchbase.com/organization/arnold-winkler,1970-01-01,day,11-50,,http://www.arwin.ch,"Building Material, Productivity Tools, Wholesale","Russikon, Zurich, Switzerland","Arnold Winkler is a wholesaler that supplies a variety of tools and spare parts used in workshops, gardens, garage as well as construction.","2,098,144",,,,,,,,,,,,
Pearlman Group,https://www.crunchbase.com/organization/pearlman-group,1971-01-01,year,251-500,"Pearlman Group is a multi-channel developer and specialty distributor of supplies, tools and equipment used in the fabrication.",,"Construction, Productivity Tools","Norcross, Georgia, United States","Pearlman Group is a multi-channel developer and specialty distributor of supplies, tools and equipment used in the fabrication.","279,591",,,,,,,,,,,,
PIC Wire & Cable,https://www.crunchbase.com/organization/pic-wire-cable,1971-01-01,year,51-100,"PIC Wire & Cable designs and manufactures performance electronic cables, connectors, and assemblies for rugged, harsh environments. Products are specified worldwide in demanding military, corporate, and commercial applications that include airplanes, helicopters, UAVs, ground vehicles, and ground shelters. PIC application success in programs worldwide involving aircraft cables and custom aircraft assemblies allows them to assist with aircraft cabling solutions for their network cable, data transfer cable, and communication applications.",https://www.picwire.com,"Aerospace, Electronics, Manufacturing, Product Design, Productivity Tools","Waukesha, Wisconsin, United States","PIC Wire & Cable provides electronics, connectors, and avionic assemblies.","412,648","29,868","8,290.5",638.39%,-28%,18,1.12,-38.73%,93.61%,21.15%,"1,197,238","-2,538,582",-67.95%
Nestor Sales,https://www.crunchbase.com/organization/nestor-sales,1971-01-01,year,51-100,"Nestor Sales is a national tool and equipment distribution company that operates under the mission of making Their customers, employees and vendor partners more successful. Established in 1971, and headquartered in Largo, Florida, Nestor Sales has grown steadily over the years in its accomplishment of that mission. The company’s targeted market segments include transportation and fleet maintenance, marine and composites, industrial manufacturers, RV and manufactured housing, and the automotive marketplace. The company focuses its efforts on these segments through its independent divisions, Ace Tool Company, Eastern Tool Warehouse (ETW), Tool Specialists, ALCO Tool Supply (ATS), AIM Supply, and Alco Tool Supply.",http://www.nestorsales.com/,"Manufacturing, Productivity Tools","Largo, Florida, United States","Nestor is a leading wholesaler and distributor of tools, equipment and supplies to the transportation industry.","678,339",,,,,,,,,,,,
Avgroup,https://www.crunchbase.com/organization/avgroup,1971-01-01,year,11-50,"Avgroup has been a dedicated provider of components and avionics for turbine-powered corporate aircraft--around the world. They are the premier source for JET PARTS for most business aviation aircraft, including Beechjets, Hawkers, Citations, Challengers, and King Airs. Corporate flight departments, MRO's, charter operators, and government agencies count on us for quality parts that are in stock, competitively priced, delivered on time, and backed with expert technical support.",https://www.jetparts.com,"Aerospace, Internet, Productivity Tools, Supply Chain Management","Atlanta, Georgia, United States",Avgroup is a global supplier of aviation parts and services-based company.,"801,775",,,,,,,,,,,,
A.P. Webb Plant Hire,https://www.crunchbase.com/organization/a-p-webb-plant-hire,1971-01-01,year,101-250,,https://www.apwebbplanthire.co.uk,"Civil Engineering, Construction, Productivity Tools, Transportation","Stafford, Staffordshire, United Kingdom","A.P. Webb Plant Hire provides a wide range of construction equipment, machinery, transportation, and backup fleet management services.","993,857",181,,-91.08%,228.57%,23,3,71.13%,0%,,"9,868,769","4,924,946",99.62%
Southeastern Extrusion and Tool,https://www.crunchbase.com/organization/southeastern-extrusion-and-tool,1971-01-01,year,11-50,"Southeastern Extrusion and Tool makes extrusion tools from 6 to 42 inches in diameter and manufactures tooling using the latest CNC technology. They are a full-service provider of extrusion tooling. A complete range of equipment enables them to perform any type of machining process, including heat-treating, nitriding, and fabrication in-house.",https://set-tool.com,"Manufacturing, Productivity Tools, Sales","Florence, Alabama, United States",Southeastern Extrusion and Tool is an extrusion industry firm.,"1,299,787",,,,,,,,,,,,
Service Tool,https://www.crunchbase.com/organization/service-tool,1971-01-01,year,,"Service Tool Hand Tool Bargain Bin Displays, Four Price Points, Box Displays, Pocket Knife Display, Glasses Displays (Sun, Safety, Magnifying), Bargain Bucket Trees, Catalog Items.",https://www.servicetoolco.com,"Productivity Tools, Sales, Wholesale","New Iberia, Louisiana, United States","Service Tool is a leading distributor of hand tools, box displays, four price points and catalog Items.","1,555,321",,,,,,,,,,,,
Lord Hire Centres,https://www.crunchbase.com/organization/lord-hire-centres,1971-01-01,year,101-250,,https://lordhire.co.uk/,"Advice, Building Maintenance, Construction, Productivity Tools","Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",Lord Hire Centres is an equipment supplier company that provides hiring and buying of building construction and maintenance equipments.,"1,949,047","1,408","5,777.5",-48.73%,-63.19%,0,1,-84.62%,100%,100%,"6,364,805","1,976,248",45.03%
Dynojet Research,https://www.crunchbase.com/organization/dynojet-research,1972-01-01,year,51-100,"Dynojet Research, Inc. is the world leader in the development and manufacturing of performance enhancement products and tools. Our fuel management and diagnostic products, coupled with our personalized services, give you the resources to maximize performance and increase efficiency. With over a decade of experience, Dynojet has relied on state-of-the-art technology to provide you with the best products available.  Our philosophy stands behind the belief that our customers are number one. Individualized attention is given so that you can take full advantage of the products we offer. Because of this philosophy, we guarantee high credibility, consistency, and customer satisfaction. Here at Dynojet, we invite you to put our products to the test. Dynojet Research is uniquely positioned to support its customers worldwide. Partnerships with industry-leading companies in over 25 countries assures that local technical support for the customer is always available. This continued commitment to being a world-class supplier has led to more than 1800 installations worldwide.",http://www.dynojet.com,"Consumer Electronics, Manufacturing, Productivity Tools","Las Vegas, Nevada, United States","Dynojet Research, Inc. is the world leader in the development and manufacturing of performance enhancement products and tools.","207,858","471,589","321,216.5",13.42%,16.46%,736,3.81,37.06%,42.36%,-15.55%,"189,388","-10,219",-5.12%
Victora Industries,https://www.crunchbase.com/organization/victora-industries,1972-01-01,year,1001-5000,,https://www.victoratool.com/,"Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Productivity Tools","Faridabad, Haryana, India",Victora Industries is the manufacturer and supplier of industrial machinery and productivity tools.,"295,099",,,,,,,,,,,,
Toolbank,https://www.crunchbase.com/organization/toolbank,1972-01-01,year,501-1000,"Toolbank is the specialist distributors of Hand and Power Tools, in association with many of the leading independent DIY retailers and the world's leading manufacturers. ",https://www.toolbank.com/,"Productivity Tools, Wholesale","Dartford, Kent, United Kingdom",Toolbank is the specialist distributors of Hand and Power Tools.,"373,122","6,556","14,816.33",-74.13%,660%,342,1.24,-14.44%,76.14%,-2.77%,"2,908,923","1,621,979",126.03%
Tri Tool,https://www.crunchbase.com/organization/tri-tool,1972-01-01,year,251-500,"Tri Tool designs develop and manufacture custom-engineered tools for industrial markets, aerospace, government, defense, biosciences, power generation, oil and gas, and semiconductors to enhance precision engine and productivity enhancement, cost improvement, and speed delivery. Their customers communicate by phone, email, and online applications.",https://www.tritool.com,"Manufacturing, Mechanical Engineering, Productivity Tools","Rancho Cordova, California, United States",Tri Tool is a designer and manufacturer of machine tools.,"628,039","1,822","4,537.17",-48.3%,-94.44%,93,1.43,-4.9%,57.35%,14.7%,"5,307,227","1,368,711",34.75%
Equipment Sales and Rentals,https://www.crunchbase.com/organization/equipment-sales-and-rentals,1972-01-01,year,,,https://www.equipmentsalesandrentals.com,"Productivity Tools, Rental, Wholesale","Lexington, Kentucky, United States",Equipment Sales and Rentals offers various types of construction equipment on rentals and distribution services to its clients.,"709,422",,,,,,,,,,,,
Felios,https://www.crunchbase.com/organization/felios,1972-01-01,day,1-10,,http://www.felios.gr,"E-Commerce, Industrial, Productivity Tools, Wholesale","Piraeus, Attiki, Greece","Felios deals with the importing and marketing of industrial tools, goods and safety items.","756,959",,,,,,,,,,,,
Tinby,https://www.crunchbase.com/organization/tinby,1972-01-01,year,51-100,,https://tinby.com/,"Logistics, Manufacturing, Product Design, Productivity Tools, Supply Chain Management","Søndersø, Syddanmark, Denmark",Tinby is a distribution company that supplies a wide variety of polyurethane solutions for various industries.,"821,859",,,,,,,,,,,,
Northern States Metals,https://www.crunchbase.com/organization/northern-states-metals,1972-01-01,year,101-250,,https://www.extrusions.com,"Alumni, Mechanical Engineering, Productivity Tools","Youngstown, Ohio, United States","Northern States Metals is a full service, a multi-operational organization offering a full spectrum of extruded aluminum services.","859,291",713,,,,10,3,,0%,,"7,622,004",,
Hybeko,https://www.crunchbase.com/organization/hybeko,1972-01-01,year,51-100,"Hybeko is a machinery manufacturing company that produces lifters, freight lifts, lifting tables, and spare parts. The product line ranges from Genie lifter, Scissor lift, Iguana lifter, Ixolift, Special machines, freight lift, goods lift, and loading dock systems. The products also include single axes, horizontal double scissors, double and triple axes, lifters, loading docks, lifting table wagons, and accessories for industries.",https://www.hybeko.no/,"Industrial, Machinery Manufacturing, Product Design, Productivity Tools","Skien, Telemark, Norway","Hybeko is a machinery manufacturing company that produces a wide variety of lifters, freight lifts, lifting tables, and spare parts.","1,002,619",,,,,,,,,,,,
Tryson Metal Stampings & Manufacturing,https://www.crunchbase.com/organization/tryson-metal-stampings-manufacturing,1972-01-01,year,11-50,,http://tryson.com,"Industrial, Machinery Manufacturing, Manufacturing, Productivity Tools","Addison, Illinois, United States","Tryson Metal Stampings & Manufacturing produces automated operation presses, hardware, auxiliary equipment, and hydraulic systems.","1,013,599",,,,,,,,,,,,
Dialog Solutions,https://www.crunchbase.com/organization/dialog-solutions-7c52,1972-01-01,year,51-100,Dialog Solutions delivers an end-to-end solution for organizations that need research workflows. It simplifies the research process for organizations that uses peer-reviewed content to make business decisions. The company's search tool provides access to records across 140 databases. It has an easy-to-use interface that allows searchers of any skill level to access the research content they need. Dialog Solutions also offers consultancy services.,https://dialog.com,"Advice, Consulting, Information Technology, Productivity Tools, Search Engine, Software","London, England, United Kingdom",Dialog Solutions delivers an end-to-end solution for organizations that need research workflows.,"1,107,210","2,993","3,349.17",-22.58%,-97.14%,0,1,-4.07%,100%,4.43%,"4,306,723","509,186",13.41%
Carr Machine & Tool,https://www.crunchbase.com/organization/carr-machine-tool,1972-01-01,year,11-50,"Carr Machine & Tool is a first-class AS9100D machine shop that produces flight-critical, precision machined parts primarily for the aerospace, space and exploratron, semiconductor, and medical industries. Their three distinguishing characteristics are people, technology, and communication. They genuinely take in the fact that their DNA is out there, advancing defense, making automation possible, and helping humans achieve futuristic innovation.",https://carrmachine.com,"Aerospace, CAD, Customer Service, Machinery Manufacturing, Manufacturing, Product Design, Productivity Tools","Elk Grove Village, Illinois, United States","Carr Machine & Tool manufactures parts for aerospace, semiconductors, automated equipment, and defense.","1,179,379",,,,,,,,,,,,
Edhard,https://www.crunchbase.com/organization/edhard,1972-01-01,year,11-50,,http://edhard.com,"Industrial Manufacturing, Manufacturing, Productivity Tools","Hackettstown, New Jersey, United States","Edhard is a manufacturing company that produces and markets equipment like power bases, filler units, cake decorators, and accessories.","1,273,700",,,,,,,,,,,,
Fastening Systems,https://www.crunchbase.com/organization/fastening-systems,1972-01-01,day,1-10,,http://www.fasteningsystems.com,"Industrial, Manufacturing, Productivity Tools","Sonoma, California, United States",Fastening Systems is a manufacturer and supplier of industrial products that include fastening and installation tools online.,"1,392,871","1,512",,,,0,1,,100%,,"6,153,448",,
Crown Machine,https://www.crunchbase.com/organization/crown-machine,1972-01-01,year,11-50,"Crown Machine's manufacturing facility consists of various machine tools, including turning centers, vertical and horizontal machining centers, boring mills, surface grinders, and cutter sharpening facilities.",https://crownmachineinc.com,"Industrial, Machinery Manufacturing, Manufacturing, Productivity Tools, Supply Chain Management","Rockford, Illinois, United States",Crown Machine manufactures precision machine tools.,"1,512,732",,,,,,,,,,,,
Georg Kaufmann Formenbau,https://www.crunchbase.com/organization/georg-kaufmann-formenbau,1972-01-01,year,51-100,"Georg Kaufmann Formenbau AG manufactures innovative injection molding tools, which generate sustainable added value for the customer through the high quality, the technological advantage, and the process integration. Our customers include the automotive industry and its suppliers. They are passionate about saving customers money over the long term. Many innovations emerge as a result of tool and process problems from their customers. Their development department is always ready to help and search for solutions for their customers.",https://gktool.ch,"Automotive, Industrial Automation, Industrial Manufacturing, Manufacturing, Productivity Tools","Schweizerhalle, Basel-Landschaft, Switzerland",Georg Kaufmann Formenbau is a manufacturer of plastic injection molding tools.,"1,796,129",,,,,,,,,,,,
Leiss Tool,https://www.crunchbase.com/organization/leiss-tool,1972-01-01,year,251-500,"Leiss Tool is a manufacturer specializing in dies, mold, fixtures, tools, and the builder of specialty machines. They offer molds, dies, grinding, stamping, and heat treating products.",https://leiss.com,"Industrial, Manufacturing, Mechanical Engineering, Productivity Tools","Somerset, Pennsylvania, United States","Leiss Tool provides precision tools, die shops, and contract manufacturers.","2,044,299",,,,,,,,,,,,
Decco Castings,https://www.crunchbase.com/organization/decco-castings,1973-01-01,year,101-250,,https://deccocastings.com/,"Industrial, Industrial Engineering, Productivity Tools","El Cajon, California, United States",Decco Castings provides aluminum sand and permanent mold castings to the aerospace and commercial industries.,"419,120","1,389",,189.38%,-91.26%,16,2,-50%,0%,,"6,400,057","-2,000,710",-23.82%
